position,original_velocity,filtered_velocity,filtered_acc
0,3,0.5,0
0.1,3,0.532,0.16
0.2,3,0.590341,0.310376
0.3,3,0.665872,0.445891
0.4,3,0.750879,0.566034
0.5,3,0.840451,0.672576
0.6,3,0.931802,0.767763
0.7,3,1.02341,0.853618
0.8,3,1.11446,0.931788
0.9,3,1.20419,1
1,3,1.28723,1
1.1,3,1.36492,1
1.2,3,1.43818,1
1.3,3,1.50771,1
1.4,3,1.57404,1
1.5,3,1.63757,1
1.6,3,1.69864,1
1.7,3,1.75751,1
1.8,3,1.81441,1
1.9,3,1.86952,1
2,3,1.92301,1
2.1,3,1.97501,1
2.2,3,2.02564,1
2.3,3,2.07501,1
2.4,3,2.1232,1
2.5,3,2.1703,1
2.6,3,2.21638,1
2.7,3,2.2615,1
2.8,3,2.30572,1
2.9,3,2.34909,1
3,3,2.39166,1
3.1,3,2.43347,1
3.2,3,2.47456,1
3.3,3,2.51497,1
3.4,3,2.55474,1
3.5,3,2.59388,1
3.6,3,2.63243,1
3.7,3,2.67042,1
3.8,3,2.70787,1
3.9,3,2.7448,1
4,3,2.78123,1
4.1,3,2.81718,1
4.2,3,2.85268,1
4.3,3,2.88773,1
4.4,3,2.92236,1
4.5,3,2.95658,1
4.6,3,2.99041,1
4.7,3,3,0
4.8,3,3,0
4.9,3,3,0
5,3,3,0
5.1,3,3,0
5.2,3,3,0
5.3,3,3,0
5.4,3,3,0
5.5,3,3,0
5.6,3,3,0
5.7,3,3,0
5.8,3,3,0
5.9,3,3,0
6,3,3,0
6.1,3,3,0
6.2,3,3,0
6.3,3,3,0
6.4,3,3,0
6.5,3,3,0
6.6,3,3,0
6.7,3,3,0
6.8,3,3,0
6.9,3,3,0
7,3,3,0
7.1,3,3,0
7.2,3,3,0
7.3,3,3,0
7.4,3,3,0
7.5,3,3,0
7.6,3,3,0
7.7,3,3,0
7.8,3,3,0
7.9,3,3,0
8,3,3,0
8.1,3,3,0
8.2,3,3,0
8.3,3,3,0
8.4,3,3,0
8.5,3,3,0
8.6,3,3,0
8.7,3,3,0
8.8,3,3,0
8.9,3,3,0
9,3,3,0
9.1,3,3,0
9.2,3,3,0
9.3,3,3,0
9.4,3,3,0
9.5,3,3,0
9.6,3,3,0
9.7,3,3,0
9.8,3,3,0
9.9,3,3,0
10,5,3.00089,0.0266667
10.1,5,3.00267,0.0533254
10.2,5,3.00533,0.0799684
10.3,5,3.00888,0.106588
10.4,5,3.0133,0.133176
10.5,5,3.0186,0.159725
10.6,5,3.02477,0.186227
10.7,5,3.0318,0.212675
10.8,5,3.03969,0.239062
10.9,5,3.04842,0.265381
11,5,3.05799,0.291624
11.1,5,3.06838,0.317785
11.2,5,3.07958,0.343857
11.3,5,3.09159,0.369835
11.4,5,3.10439,0.395712
11.5,5,3.11797,0.421481
11.6,5,3.13231,0.447139
11.7,5,3.1474,0.472679
11.8,5,3.16323,0.498097
11.9,5,3.17977,0.523388
12,5,3.19702,0.548547
12.1,5,3.21496,0.57357
12.2,5,3.23358,0.598454
12.3,5,3.25285,0.623194
12.4,5,3.27277,0.647788
12.5,5,3.29331,0.672232
12.6,5,3.31446,0.696524
12.7,5,3.3362,0.720661
12.8,5,3.35852,0.74464
12.9,5,3.3814,0.76846
13,5,3.40483,0.792119
13.1,5,3.42878,0.815615
13.2,5,3.45325,0.838947
13.3,5,3.47821,0.862113
13.4,5,3.50366,0.885114
13.5,5,3.52957,0.907947
13.6,5,3.55594,0.930613
13.7,5,3.58274,0.95311
13.8,5,3.60997,0.975439
13.9,5,3.6376,0.9976
14,5,3.6651,1
14.1,5,3.69238,1
14.2,5,3.71946,1
14.3,5,3.74635,1
14.4,5,3.77304,1
14.5,5,3.79954,1
14.6,5,3.82586,1
14.7,5,3.852,1
14.8,5,3.87796,1
14.9,5,3.90375,1
15,5,3.92937,1
15.1,5,3.95481,1
15.2,5,3.9801,1
15.3,5,4.00523,1
15.4,5,4.03019,1
15.5,5,4.05501,1
15.6,5,4.07967,1
15.7,5,4.10418,1
15.8,5,4.12854,1
15.9,5,4.15276,1
16,5,4.17685,1
16.1,5,4.20079,1
16.2,5,4.22459,1
16.3,5,4.24826,1
16.4,5,4.2718,1
16.5,5,4.29521,1
16.6,5,4.31849,1
16.7,5,4.34165,1
16.8,5,4.36468,1
16.9,5,4.38759,1
17,5,4.41038,1
17.1,5,4.43306,1
17.2,5,4.45562,1
17.3,5,4.47806,1
17.4,5,4.50039,1
17.5,5,4.52261,1
17.6,5,4.54472,1
17.7,5,4.56673,1
17.8,5,4.58862,1
17.9,5,4.61042,1
18,5,4.63211,1
18.1,5,4.65369,1
18.2,5,4.67518,1
18.3,5,4.69657,1
18.4,5,4.71786,1
18.5,5,4.73906,1
18.6,5,4.76016,1
18.7,5,4.78117,1
18.8,5,4.80209,1
18.9,5,4.82291,1
19,5,4.84364,1
19.1,5,4.86429,1
19.2,5,4.88485,1
19.3,5,4.90532,1
19.4,5,4.9257,1
19.5,5,4.94601,1
19.6,5,4.96622,1
19.7,5,4.98636,1
19.8,5,5,0
19.9,5,5,0
20,5,5,0
20.1,5,5,0
20.2,5,5,0
20.3,5,5,0
20.4,5,5,0
20.5,5,5,0
20.6,5,5,0
20.7,5,5,0
20.8,5,5,0
20.9,5,5,0
21,5,5,0
21.1,5,5,0
21.2,5,5,0
21.3,5,5,0
21.4,5,5,0
21.5,5,5,0
21.6,5,5,0
21.7,5,5,0
21.8,5,5,0
21.9,5,5,0
22,5,5,0
22.1,5,5,0
22.2,5,5,0
22.3,5,5,0
22.4,5,5,0
22.5,5,5,0
22.6,5,5,0
22.7,5,5,0
22.8,5,5,0
22.9,5,5,0
23,5,4.99866,-1
23.1,5,4.97858,-1
23.2,5,4.95841,-1
23.3,5,4.93816,-1
23.4,5,4.91782,-1
23.5,5,4.8974,-1
23.6,5,4.8769,-1
23.7,5,4.85631,-1
23.8,5,4.83563,-1
23.9,5,4.81486,-1
24,5,4.794,-1
24.1,5,4.77305,-1
24.2,5,4.752,-1
24.3,5,4.73087,-1
24.4,5,4.70963,-1
24.5,5,4.6883,-1
24.6,5,4.66688,-1
24.7,5,4.64535,-1
24.8,5,4.62372,-0.989491
24.9,5,4.60222,-0.972108
25,5,4.581,-0.954644
25.1,5,4.56007,-0.937101
25.2,5,4.53942,-0.919477
25.3,5,4.51908,-0.901775
25.4,5,4.49903,-0.883993
25.5,5,4.4793,-0.866133
25.6,5,4.45988,-0.848195
25.7,5,4.44078,-0.830181
25.8,5,4.422,-0.812089
25.9,5,4.40356,-0.793922
26,5,4.38546,-0.77568
26.1,5,4.3677,-0.757364
26.2,5,4.35029,-0.738974
26.3,5,4.33324,-0.720512
26.4,5,4.31654,-0.701979
26.5,5,4.30022,-0.683375
26.6,5,4.28427,-0.664702
26.7,5,4.2687,-0.645961
26.8,5,4.25351,-0.627153
26.9,5,4.23871,-0.608279
27,5,4.22431,-0.589341
27.1,5,4.21032,-0.57034
27.2,5,4.19673,-0.551278
27.3,5,4.18355,-0.532155
27.4,5,4.17079,-0.512974
27.5,5,4.15846,-0.493737
27.6,5,4.14655,-0.474443
27.7,5,4.13507,-0.455097
27.8,5,4.12404,-0.435698
27.9,5,4.11345,-0.41625
28,5,4.1033,-0.396753
28.1,5,4.09361,-0.377211
28.2,5,4.08438,-0.357624
28.3,5,4.0756,-0.337995
28.4,5,4.06729,-0.318326
28.5,5,4.05945,-0.298619
28.6,5,4.05208,-0.278876
28.7,5,4.04519,-0.259099
28.8,5,4.03877,-0.239291
28.9,5,4.03284,-0.219454
29,5,4.02739,-0.19959
29.1,5,4.02243,-0.179701
29.2,5,4.01795,-0.159791
29.3,5,4.01397,-0.13986
29.4,5,4.01048,-0.119913
29.5,5,4.00749,-0.0999501
