qp_time,qp_position,qp_velocity,qp_acceleration,qp_jerk
0,0,0.500009,1.93868e-05,-0
0.2,0.100002,0.521819,0.109007,0.544841
0.4,0.206546,0.564611,0.213921,0.524482
0.6,0.323747,0.627572,0.314762,0.504124
0.8,0.455556,0.709887,0.411529,0.483766
1,0.605764,0.81074,0.504223,0.463409
1.2,0.777997,0.929318,0.592845,0.443052
1.4,0.975717,1.0648,0.677393,0.422695
1.6,1.20223,1.21639,0.757868,0.402339
1.8,1.46066,1.38325,0.83427,0.381983
2,1.754,1.56458,0.9066,0.361629
2.2,2.08504,1.75956,0.974857,0.341274
2.4,2.45645,1.96727,1.03853,0.318337
2.6,2.87068,2.1871,1.09915,0.303106
2.8,3.33008,2.41005,1.11467,0.0776236
3,3.83438,2.63299,1.11466,-3.25662e-05
3.2,4.38327,2.85592,1.11466,-4.03368e-05
3.4,4.97675,3.07886,1.11465,-4.14408e-05
3.6,5.61482,3.3018,1.11464,-3.92114e-05
3.8,6.29747,3.52473,1.11463,-3.69821e-05
4,7.02471,3.74766,1.11462,-4.60861e-05
4.2,7.79653,3.97059,1.11461,-5.25234e-05
4.4,8.61294,4.19352,1.1146,-5.02941e-05
4.6,9.47394,4.41644,1.11459,-4.80648e-05
4.8,10.3795,4.63937,1.11458,-4.58356e-05
5,11.3297,4.86786,1.14245,0.139323
5.2,12.3261,5.09636,1.14244,-5.81785e-05
5.4,13.3682,5.32485,1.14243,-5.90364e-05
5.6,14.456,5.55334,1.14241,-5.67515e-05
5.8,15.5896,5.78396,1.15307,0.0532816
6,16.7694,6.01761,1.16826,0.0759626
6.2,17.9963,6.25127,1.16825,-6.98239e-05
6.4,19.2699,6.47554,1.12132,-0.234629
6.6,20.5874,6.68743,1.05945,-0.309382
6.8,21.9461,6.88608,0.993218,-0.331138
7,23.3432,7.06983,0.918761,-0.372277
7.2,24.7755,7.23705,0.836076,-0.413413
7.4,26.2397,7.38609,0.745163,-0.454546
7.6,27.7318,7.51529,0.646024,-0.495676
7.8,29.2478,7.62303,0.538659,-0.536803
8,30.7832,7.70762,0.422946,-0.578539
8.2,32.3331,7.7672,0.297903,-0.625193
8.4,33.8925,7.79991,0.163529,-0.671844
8.6,35.4558,7.80387,0.019826,-0.71849
8.8,37.017,7.77723,-0.133206,-0.765133
9,38.5697,7.71812,-0.295566,-0.811772
9.2,40.1075,7.6248,-0.466565,-0.854973
9.4,41.6231,7.49681,-0.639949,-0.866895
9.6,43.1096,7.33506,-0.808714,-0.843804
9.8,44.5605,7.14209,-0.964834,-0.78058
10,45.9696,6.9223,-1.09899,-0.670755
10.2,47.3321,6.68144,-1.20427,-0.526406
