position,original_velocity,filtered_velocity,filtered_acc
0,13,0.5,0
1,13,2.5,1
2,13,2.9,1
3,13,3.24483,1
4,13,3.55301,1
5,13,3.83446,1
6,13,4.09525,1
7,13,4.33944,1
8,13,4.56988,1
9,13,4.78871,1
10,15,4.99753,1
11,15,5.19763,1
12,15,5.39003,1
13,15,5.57555,1
14,15,5.75491,1
15,15,5.92867,1
16,15,6.09735,1
17,15,6.26135,1
18,15,6.42106,1
19,15,6.5768,1
20,15,6.72885,1
21,15,6.87746,1
22,15,7.02286,1
23,15,7.16526,1
24,15,7.30482,1
25,15,7.44171,1
26,15,7.57609,1
27,15,7.70809,1
28,15,7.83782,1
29,15,7.96541,1
30,14,8.09095,1
31,14,8.21454,1
32,14,8.33628,1
33,14,8.45624,1
34,14,8.57449,1
35,14,8.69112,1
36,14,8.80618,1
37,14,8.91974,1
38,14,9.03185,1
39,14,9.14257,1
40,14,9.25194,1
41,14,9.36003,1
42,14,9.46687,1
43,14,9.5725,1
44,14,9.67696,1
45,14,9.7803,1
46,14,9.88255,1
47,14,9.98374,1
48,14,10.0839,1
49,14,10.1192,-0.398731
50,14,10.0797,-0.319363
51,14,10.0479,-0.239745
52,14,10.024,-0.159936
53,14,10.008,-0.08
54,10,10,10
